,text,intent
161,tell me a joke about getting a first,tell me joke
162,My user is Bella,"greet and hello hi kind of things, general check in"
163,take screenshot,take screenshot
164,"s2, i was unclear about your response.",tell me about
165,send email to <name>,send email
166,see you later,goodbye
167,mute the speakers,volume control
168,Do you know what time it is?,asking time
169,do have any new email,send email
170,see you later,goodbye
171,Be quiet,goodbye
172,Thanks good bye,goodbye
173,play games of xyz 32 bit,play games
174,mute volume,volume control
175,what is the weather like day after tomorrow,asking weather
176,please tell me who is going to win the nba championship,tell me about
177,show me reviews of my nearest location food court,places near me
178,What actions can you perform?,what can you do
179,show me boston's current time,asking time
180,i am bored what can i do today,i am bored
181,set to mute,volume control
182,Good thanks! My user is Adam,"greet and hello hi kind of things, general check in"
183,it's quiet time,volume control
184,i need a naughty joke not to naughty though,tell me joke
185,click selfie of,click photo
186,places near me to eat today with my friends,places near me
187,I am feeling a bit bored,i am bored
188,play led zeppelin houses of the holy,play on youtube
189,what the singer meant by the title of the song bohemian rhapsody,play on youtube
190,please reply to my colleagues mail about his query,send email
191,send email to,send email
192,whats up,"greet and hello hi kind of things, general check in"
193,play super mario brothers game with me,play games
194,my day was so busy,tell me about
195,play games of xxd,play games
196,covid cases of india past 24 hours,covid cases
197,what is the weather,asking weather
198,volume control decrease,volume control
199,capture selfie,click photo
200,"Thank you, bye",goodbye
201,"Thank you, goodbye",goodbye
202,"Thank you, bye",goodbye
203,repeat this list in random order,play on youtube
204,what is a good rap album that came out this year,play on youtube
205,tell me news today,tell me news
206,Tell me a joke,tell me joke
207,hello there,"greet and hello hi kind of things, general check in"
208,did dan send me any emails,send email
209,capture selfie,click photo
210,volume control decrease,volume control
211,My user is Bella,"greet and hello hi kind of things, general check in"
212,"s2, i am unclear about your words.",tell me about
213,tell me a joke about xenophobia,tell me joke
214,daily cases of india,covid cases
215,what is the day,asking date
216,i am bored what can i do today with my wife,i am bored
217,pull up outlook i need to send a email,send email
218,play on youtube,play on youtube
219,tell me updates,tell me news
220,show me this week's forecast,asking weather
221,near by super market,places near me
222,send a request to martin,send email
223,play baseball with me,play games
224,mobile shop,places near me
225,good evening,goodbye
226,download youtube video of minecraft,download youtube video
227,send email to <name>,send email
228,what is the name of the artist that created this song,play on youtube
229,volume control,volume control
230,send whatsapp message,send whatsapp message
231,How hot will it be,asking weather
232,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
233,screen shot of <name>,take screenshot
234,lets play pinball,play games
235,down,volume control
236,tell me about my business,tell me about
237,could you elaborate me more on your response please.,tell me about
238,I am looking for,tell me about
239,Can you tell me the time?,asking time
240,hi there,"greet and hello hi kind of things, general check in"
241,tell me a fun joke,tell me joke
242,send whatsapp message,send whatsapp message
243,I am finding myself bored,i am bored
244,what is the day of the week,asking date
245,are there any unread emails from patrick,send email
246,what week of the year does the summer season start,asking time
247,capture photo of <name>,click photo
248,Time,asking time
249,what is the day of the week,asking date
250,Can you tell me the time?,asking time
251,What can I ask you to do?,what can you do
252,send email to <name>,send email
253,i want it to be able to tell me statistics about things it's done for me like how often i've eaten out this month,tell me about
254,what were the first number of email subjects i got today,send email
255,send whatsapp message,send whatsapp message
256,Bye,goodbye
257,what is the day on twenty third march,asking time
258,click photo,click photo
259,what time is it in denver,asking time
260,what is a funny joke,tell me joke
261,how time is it,asking time
262,Hya there,"greet and hello hi kind of things, general check in"
263,play for me hip hop music,play on youtube
264,I have good news,tell me news
265,play on youtube,play on youtube
266,open website stackoverflow.com,open website
267,volume down,volume control
268,please open blokus game i would like to play with you,play games
269,where can i go shopping in this area,places near me
270,Where should I go nearby?,places near me
271,play my country playlist,play on youtube
272,Do you know what time it is?,asking time
273,What are the things you can do?,what can you do
274,Tell me a joke,tell me joke
275,send mom the following email,send email
276,Hello how are you?,"greet and hello hi kind of things, general check in"
277,open website stackoverflow.com,open website
278,I am so bored,i am bored
279,tell me a joke about dogs,tell me joke
280,What are your functionalities?,what can you do
281,is it going to be cloudy or sunny today in bangalore,asking weather
282,play bad guy on youtube,play on youtube
283,Where can I find something nearby?,places near me
284,hi how are you,"greet and hello hi kind of things, general check in"
285,recommend pub in eighth and monte diablo,places near me
286,tell me a fun joke,tell me joke
287,open tic tac toe,play games
288,Quiet,goodbye
289,good evening,goodbye
290,tell me news day after tomorrow,tell me news
291,what is the weather tomorrow,asking weather
292,hey,"greet and hello hi kind of things, general check in"
293,make me laugh,tell me joke
294,screen shot of <name>,take screenshot
295,what's the good news?,tell me news
296,play <song> on youtube,play on youtube
297,funny story,tell me joke
298,take screenshot,take screenshot
299,play games of xxd,play games
300,send email to,send email
301,volume control increase by 10,volume control
302,Tell me a joke,tell me joke
303,respond to graham and let him know that i will be free tomorrow,send email
304,which restaurant is there in shivaji nagar,places near me
305,good afternoon,goodbye
306,what is the weather,asking weather
307,what is the weather like outside,asking weather
308,see you later,goodbye
309,could you clarify further on what you said now to me please.,tell me about
310,play games of xyz 64 bit,play games
311,play my midnight love playlist,play on youtube
312,how is president's trump office proceeding,tell me news
313,time,asking time
314,what is the current day month and year,asking time
315,do i need a sweater today,asking weather
316,Time,asking time
317,open website wikipedia.com,open website
318,play the song for me,play on youtube
319,time,asking time
320,initiate polling for new email,send email
321,what's the weather this week,asking weather
322,open website google.com,open website
323,This is Adam,"greet and hello hi kind of things, general check in"
324,capture photo of,click photo
325,what is the weather update for tuesday,asking weather
326,"Thank you, bye",goodbye
327,covid cases,covid cases
328,Do you know what time it is?,asking time
329,show me my emails from the past hour,send email
330,whats up,"greet and hello hi kind of things, general check in"
331,please tell me a joke,tell me joke
332,Hello how are you?,"greet and hello hi kind of things, general check in"
333,what's going on with economy,tell me news
334,what time is it today,asking time
335,send whatsapp message to 9898982565,send whatsapp message
336,open website wikipedia.com,open website
337,whats up,"greet and hello hi kind of things, general check in"
338,daily cases of india,covid cases
339,what is the weather day after tomorrow,asking weather
340,Time,asking time
341,whats the latest,tell me news
342,email dad how is the weather this week,send email
343,please do not talk for thirty minutes,volume control
344,tell me about president,tell me about
345,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
346,Do you know what time it is?,asking time
347,what time is it,asking time
348,click photo of <name>,click photo
349,"Thank you, goodbye",goodbye
350,mario,play games
351,how is this weeks weather,asking weather
352,is it going to be cloudy in london during the weekend,asking weather
353,screen shot of <name>,take screenshot
354,play on youtube,play on youtube
355,Enough talking,goodbye
356,click photo of,click photo
357,can you elaborate me on your answers again.,tell me about
358,can you do name that tune,play games
359,screen shot of <name>,take screenshot
360,play minecraft,play games
361,send whatsapp message to dipesh,send whatsapp message
362,send whatsapp message about <name>,send whatsapp message
363,write this message to the coworker group,send email
364,play games of xyz 32 bit,play games
365,what is the weather like now tomorrow,asking weather
366,i had a relaxing day today,tell me about
367,nine hundred and ninety nine fm is currently playing what music,play on youtube
368,Please be quiet,goodbye
369,My user is Adam,"greet and hello hi kind of things, general check in"
370,play games of c,play games
371,start a game and play with me,play games
372,i am bored today,i am bored
373,"Thank you, bye",goodbye
374,lower all volume on speakers please,volume control
375,jane doe,send email
376,I have good news,tell me news
377,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
378,tell me the news of the day,tell me news
379,send whatsapp message to,send whatsapp message
380,decrease volume to very soft,volume control
381,"Thank you, bye",goodbye
382,open website stackoverflow.com,open website
383,open website stackoverflow.com,open website
384,Tell me a joke,tell me joke
385,hey there,"greet and hello hi kind of things, general check in"
386,Tell me a joke,tell me joke
387,Can you recommend some places nearby?,places near me
388,play games of xyz 64 bit,play games
389,hi how are you,"greet and hello hi kind of things, general check in"
390,play on youtube,play on youtube
391,download youtube video of minecraft,download youtube video
392,what is the weather like day before tomorrow,asking weather
393,What tasks can you complete?,what can you do
394,wine shop,places near me
395,send whatsapp message,send whatsapp message
396,what is the time,asking time
397,covid confirmed cases of,covid cases
398,download youtube video of guru randhawa,download youtube video
399,find jokes on the web,tell me joke
400,Hope you are doing well?,"greet and hello hi kind of things, general check in"
401,best reviews restaurant in south sacramento,places near me
402,Enough talking,goodbye
403,covid cases of india past 24 hours,covid cases
404,send whatsapp message to,send whatsapp message
405,please lower the speaker volume,volume control
406,capture photo,click photo
407,are there any status updates on cnn news facebook page,tell me news
408,where to buy cannon cameras,places near me
409,good evening,goodbye
410,what time is it,asking time
411,Hya there,"greet and hello hi kind of things, general check in"
412,Can you turn the volume up?,volume control
413,am i going to need a jacket tomorrow,asking weather
414,covid confirmed cases of,covid cases
415,i would like to play tetris,play games
416,send whatsapp message about,send whatsapp message
417,my games to play in my computers,play games
418,"Thank you, goodbye",goodbye
419,what's the famous monty python joke about the bird,tell me joke
420,what are the subject line and sender from today's email inbox,send email
421,what is the forecast,asking weather
422,tell me the date when this song was recorded,play on youtube
423,Can you tell me the time?,asking time
424,what's the weather in toronto today,asking weather
425,what's the name of this song,play on youtube
426,Do you know the time?,asking time
427,did my mom send me an email,send email
428,play bad guy on youtube,play on youtube
429,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
430,open website stackoverflow.com,open website
431,Hola how are you?,"greet and hello hi kind of things, general check in"
432,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
433,Hello,"greet and hello hi kind of things, general check in"
434,take screenshot of google,take screenshot
435,screen shot,take screenshot
436,locate nearby dining places,places near me
437,Tell me a joke,tell me joke
438,download youtube video of minecraft,download youtube video
439,This is Adam,"greet and hello hi kind of things, general check in"
440,send whatsapp message about,send whatsapp message
441,will it get warmer here next week,asking weather
442,what is the day,asking date
443,was this song in the top twenty,play on youtube
444,hello there,"greet and hello hi kind of things, general check in"
445,please reduce the speaker volume,volume control
446,did bert write me today,send email
447,lower volume to half,volume control
448,Hola how are you?,"greet and hello hi kind of things, general check in"
449,what time is it in singapore,asking time
450,Hello how are you?,"greet and hello hi kind of things, general check in"
451,take screenshot,take screenshot
452,forward email,send email
453,check inbox for mail from sarah,send email
454,recommend me a restaurant in west chester,places near me
455,What are some places near me?,places near me
456,what is the weather like now today,asking weather
457,what's good news today,tell me news
458,what is today's date,asking time
459,i am bored,i am bored
460,What are your functionalities?,what can you do
461,send email to,send email
462,find game,play games
463,whats up,"greet and hello hi kind of things, general check in"
464,hi how are you,"greet and hello hi kind of things, general check in"
465,where are italian restaurants in me area,places near me
466,play on youtube,play on youtube
467,would you please once again explain me about your words.,tell me about
468,olly what songs have i listened to at least ten times,play on youtube
469,send email to dipesh,send email
470,hi buddy send mail to my friend hellen regarding home builders are not accepted the offer,send email
471,It is Adam,"greet and hello hi kind of things, general check in"
472,what's the good news?,tell me news
473,send email to dipesh,send email
474,tell me about president of india,tell me about
475,good day,goodbye
476,daily cases of india,covid cases
477,check the current playing music title,play on youtube
478,Can you lower the volume?,volume control
479,covid confirmed cases of,covid cases
480,play baseball with me,play games
481,"s2, i didn't catch up with you.",tell me about
482,did you receive this person email,send email
483,play on youtube,play on youtube
484,i was not clear about your response.,tell me about
485,quiet mode on until i am home from work,volume control
486,tell me a joke about dogs,tell me joke
487,i want to hear a good joke,tell me joke
488,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
489,send email to <name>,send email
490,Tell me a joke,tell me joke
491,play on youtube,play on youtube
492,tell me about a vet,tell me about
493,this song is composed by whom,play on youtube
494,compose an email to parisa,send email
495,what is the month day and year,asking time
496,tomorrow,asking date
497,email me the lyrics to this song,play on youtube
498,Can you recommend some places nearby?,places near me
499,click photo,click photo
500,which teams are playing today in the premier league,tell me news
501,tell me a joke about lawyers,tell me joke
502,see you later,goodbye
503,day after tomorrow,asking date
504,start music,play on youtube
505,send whatsapp message about <name>,send whatsapp message
506,covid cases of,covid cases
507,put the song sung by shreya at the top,play on youtube
508,what is the highest rated joke today,tell me joke
509,tell me fun joke,tell me joke
510,send whatsapp message,send whatsapp message
511,play maroon five playlist,play on youtube
512,is it going to rain in the next few days in tucson,asking weather
513,send whatsapp message to dipesh,send whatsapp message
514,tell me a joke about dogs,tell me joke
515,what's the best chicken place near me,places near me
516,what time is it day before tomorrow,asking time
517,what's the good news?,tell me news
518,play games of gcc,play games
519,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
520,Bye,goodbye
521,Tell me a joke,tell me joke
522,let's play a game together,play games
523,bye,goodbye
524,send email about,send email
525,"Thank you, goodbye",goodbye
526,tell me everything about umf,tell me about
527,download youtube video of minecraft,download youtube video
528,it's really loud can you please turn the music down,volume control
529,send email to xyz@gmail.com,send email
530,send an email to my boss about my leave,send email
531,What is the time?,asking time
532,good news for economy,tell me news
533,please tell me the chances of rain this week for zip code twenty nine thousand nine hundred and seventy eight,asking weather
534,what is the date,asking date
535,tell me a funny joke,tell me joke
536,today,asking date
537,Tell me what time it is?,asking time
538,hey,"greet and hello hi kind of things, general check in"
539,Hi how are you?,"greet and hello hi kind of things, general check in"
540,good bye,goodbye
541,how are things in the world,tell me news
542,download youtube video of kishore kumar,download youtube video
543,give me the time in phoenix az,asking time
544,play games of xyz 32 bit,play games
545,Enough talking,goodbye
546,i am bored today what can i do,i am bored
547,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
548,open website youtube.com,open website
549,Hola how are you?,"greet and hello hi kind of things, general check in"
550,tell me a joke about the sun,tell me joke
551,do i have any new emails in my inbox today,send email
552,Can you increase the volume?,volume control
553,tell me the news of the day,tell me news
554,show unread new emails,send email
555,What are your functionalities?,what can you do
556,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
557,Please be quiet,goodbye
558,send whatsapp message,send whatsapp message
559,what does jon bon jovi's wife look like,tell me about
560,Tell me a joke,tell me joke
561,download youtube video of,download youtube video
562,time,asking time
563,say some jokes,tell me joke
564,celebrities,tell me about
565,if you put a velociraptor and a hippo together what would happen,tell me about
566,would you play some music please,play on youtube
567,i did not quite catch that.,tell me about
568,volume control,volume control
569,i am need my hat today,asking weather
570,send whatsapp message about <name>,send whatsapp message
571,play pacman game with me,play games
572,bye,goodbye
573,what is the weather like now day after tomorrow,asking weather
574,Can you tell me the time?,asking time
575,play candy crush with me,play games
576,i don't understand what you just said now.,tell me about
577,what time is it now,asking time
578,Give me a joke,tell me joke
579,tomorrow,asking date
580,lower the volume ten percent,volume control
581,Can you recommend some places nearby?,places near me
582,This is Adam,"greet and hello hi kind of things, general check in"
583,bring me the title of current music,play on youtube
584,good evening,goodbye
585,Goodbye,goodbye
586,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
587,send email to dipesh,send email
588,start email for address not in contacts,send email
589,let's play you'll be the keeper and never change position,play games
590,i want to hear my favorite jazz music genre,play on youtube
591,Will it rain tomorrow,asking weather
592,hey,"greet and hello hi kind of things, general check in"
593,download youtube video of minecraft,download youtube video
594,good news for economy,tell me news
595,Where should I go nearby?,places near me
596,good news for economy,tell me news
597,Hi there,"greet and hello hi kind of things, general check in"
598,Can you recommend some places nearby?,places near me
599,capture photo of <name>,click photo
600,play chess,play games
601,i just want to know some information about you,tell me about
602,what is the name of this musical group,play on youtube
603,please explain again to me.,tell me about
604,are there any good pizza places around here,places near me
605,what is the weather like now tomorrow,asking weather
606,send an email for me,send email
607,how do i buy tickets for that,tell me about
608,screen shot of <name>,take screenshot
609,please rephrase more on what you have just said to me.,tell me about
610,play one more time,play on youtube
611,send whatsapp message,send whatsapp message
612,send an email to bill that i'm sorry i didn't realize he was so sick,send email
613,tell me a dad joke,tell me joke
614,is it going to snow tonight,asking weather
615,"Thanks for the help, goodbye",goodbye
616,say joke,tell me joke
617,tell me something funny,tell me joke
618,What are the top places nearby?,places near me
619,click photo of <name>,click photo
620,play shape of you on youtube today,play on youtube
621,play games of xyz 32 bit,play games
622,Is it going to snow,asking weather
623,send email about <name>,send email
624,Hola how are you?,"greet and hello hi kind of things, general check in"
625,what new emails do i have form amie,send email
626,covid cases,covid cases
627,screen shot of <name>,take screenshot
628,tell me about my job,tell me about
629,This is Adam,"greet and hello hi kind of things, general check in"
630,capture photo of <name>,click photo
631,Where can I find something nearby?,places near me
632,play on youtube,play on youtube
633,find a joke in your vault and tell me,tell me joke
634,what time is it,asking time
635,play music true love,play on youtube
636,I am not entertained,i am bored
637,Hello how are you?,"greet and hello hi kind of things, general check in"
638,Hya,"greet and hello hi kind of things, general check in"
639,daily cases,covid cases
640,This is Adam,"greet and hello hi kind of things, general check in"
641,Hello,"greet and hello hi kind of things, general check in"
642,click selfie of,click photo
643,what's happening today,tell me news
644,open website wikipedia.com,open website
645,Good thanks! My user is Adam,"greet and hello hi kind of things, general check in"
646,can you please further elaborate what you just said.,tell me about
647,send whatsapp message,send whatsapp message
648,what time is it tomorrow,asking time
649,what's the time in new york,asking time
650,open website quora.com,open website
651,screen shot of <name>,take screenshot
652,This is Adam,"greet and hello hi kind of things, general check in"
653,how is it outside,asking weather
654,"Thank you, goodbye",goodbye
655,play pacman game with me,play games
656,i'd like to send a reply,send email
657,Hya there,"greet and hello hi kind of things, general check in"
658,what's good news,tell me news
659,volume control increase by 10,volume control
660,i am bored what can i do today with my wife,i am bored
661,is the sun gonna shine in devon this weekend,asking weather
662,let's play global thermonuclear war,play games
663,Do you know what time it is?,asking time
664,Hope you are doing well?,"greet and hello hi kind of things, general check in"
665,play let me love you on youtube,play on youtube
666,tell me about my day,tell me about
667,capture selfie,click photo
668,click photo,click photo
669,volume control increase by 10,volume control
670,please adjust the speakers to a lower more comfortable level,volume control
671,Make me laugh,tell me joke
672,where is kenya,tell me about
673,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
674,open website facebook.com,open website
675,please mute yourself,volume control
676,What are the top places nearby?,places near me
677,click photo,click photo
678,send an email to frank and ask them what the weather going to be like this week,send email
679,tell me a joke about trump and xi,tell me joke
680,how would you tackle the following problem brush your teeth,tell me about
681,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
682,screen shot,take screenshot
683,please tell me the news,tell me news
684,mute all responses now,volume control
685,It is Adam,"greet and hello hi kind of things, general check in"
686,hi how are you,"greet and hello hi kind of things, general check in"
687,what is the update on stock market,tell me news
688,Shut up,goodbye
689,good afternoon,goodbye
690,play kishore kumar on youtube,play on youtube
691,did linda connors reply to any of my emails this morning,send email
692,what's good news,tell me news
693,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
694,dubai marriage,tell me about
695,what song is on the radio,play on youtube
696,will you please clarify again.,tell me about
697,Tell me a joke,tell me joke
698,tell me about president of usa,tell me about
699,what are my newest emails,send email
700,will the weather be bad on sunday,asking weather
701,movies making money,tell me about
702,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
703,show me the places where i was,tell me about
704,My user is Adam,"greet and hello hi kind of things, general check in"
705,click selfie of,click photo
706,what is the weather like now day before tomorrow,asking weather
707,Tell me a joke,tell me joke
708,please send a voice mail to mr richard office about meting him on first of february twenty seventeen at five pm,send email
709,what is a funny joke about car,tell me joke
710,tell me a joke about xenophobia,tell me joke
711,today,asking date
712,what day of the week is june twenty seventh on this year,asking time
713,send whatsapp message,send whatsapp message
714,send whatsapp message,send whatsapp message
715,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
716,I am so bored,i am bored
717,See you later,goodbye
718,"s1, would you further elaborate to me please.",tell me about
719,which song is this,play on youtube
720,i want to slow down my speaker,volume control
721,play games of xxd,play games
722,whats up,"greet and hello hi kind of things, general check in"
723,Great thanks! I am Bella,"greet and hello hi kind of things, general check in"
724,email alice to let her know we are on the way,send email
725,i want to listen jazz,play on youtube
726,please list the best clothing shops near me,places near me
727,what's the best italian restaurant in atlanta,places near me
728,time,asking time
729,tell me news,tell me news
730,i am not so clear about your answers.,tell me about
731,email my friend about our plans tonight,send email
732,click photo,click photo
733,Hello how are you?,"greet and hello hi kind of things, general check in"
734,open saga,play games
735,is there any rap that doesn't involve sex money and drugs,play on youtube
736,amazon deals,tell me about
737,play games of xyz 32 bit,play games
738,you should reply to the mail,send email
739,Do you know what time it is?,asking time
740,send whatsapp message,send whatsapp message
741,Hello how are you?,"greet and hello hi kind of things, general check in"
742,send whatsapp message,send whatsapp message
743,what time is it,asking time
744,good afternoon,goodbye
745,tell me about tomorrow,tell me about
746,play games of xxd,play games
747,send whatsapp message about <name>,send whatsapp message
748,can you turn that down,volume control
749,can you tell me a joke,tell me joke
750,ask me an arithmetic question,tell me about
751,see you later,goodbye
752,play despacito on youtube today,play on youtube
753,what song is playing now,play on youtube
754,what time is it tomorrow,asking time
755,send email,send email
756,please mute the television for one hour,volume control
757,play the electronic playlist,play on youtube
758,what is the day,asking date
759,what is the day,asking date
760,hi,"greet and hello hi kind of things, general check in"
761,download youtube video of,download youtube video
762,what is the weather,asking weather
763,what time is it now,asking time
764,volume control mute,volume control
765,send whatsapp message,send whatsapp message
766,send email about,send email
767,quiet,volume control
768,did the yankees win last night,tell me news
769,tomorrow,asking date
770,what is mondays actual date,asking time
771,play games of xxd,play games
772,display recent email from john,send email
773,lower all volume on speakers please,volume control
774,tell me about history of british india,tell me about
775,please check whether the email of jancy has come,send email
776,open website stackoverflow.com,open website
777,start the poker game,play games
778,i want to slow down my speaker,volume control
779,click selfie,click photo
780,open website github.com,open website
781,crack a joke,tell me joke
782,please turn the volume down,volume control
783,Quiet,goodbye
784,have you heard any good jokes lately,tell me joke
785,send an email to fred from work he is in my contacts,send email
786,capture photo,click photo
787,good bye,goodbye
788,play on youtube,play on youtube
789,play closer music track,play on youtube
790,"Thank you, bye",goodbye
791,do i need to carry umbrella for evening,asking weather
792,what is the day of the week,asking date
793,i am bored today,i am bored
794,"Thank you, goodbye",goodbye
795,please unmute yourself,volume control
796,compose a mail for jack,send email
797,play all songs by metallica on shuffle,play on youtube
798,Can you mute the volume?,volume control
799,do i need boots today,asking weather
800,send whatsapp message,send whatsapp message
801,download youtube video,download youtube video
802,download youtube video of guru randhawa,download youtube video
803,explain further.,tell me about
804,click photo,click photo
805,whats up,"greet and hello hi kind of things, general check in"
806,hey there,"greet and hello hi kind of things, general check in"
807,good evening,goodbye
808,covid cases of india past 48 hours,covid cases
809,please reduce the sound,volume control
810,volume control mute,volume control
811,what can you do for me,what can you do
812,What are your functionalities?,what can you do
813,tell me joke about trump,tell me joke
814,tell me about yours,tell me about
815,Hello how are you?,"greet and hello hi kind of things, general check in"
816,i have a deadline on tuesday,tell me about
817,Please be quiet,goodbye
818,Do you know the time?,asking time
819,tell me news tomorrow,tell me news
820,what's good news today,tell me news
821,Can you increase the volume?,volume control
822,i would like to crack jokes,tell me about
823,say a good joke for me right now,tell me joke
824,Do you know what time it is?,asking time
825,volume control mute,volume control
826,mute speakers,volume control
827,find a shop that sells beer,places near me
828,check the weather app to see if,asking weather
829,Hope you are doing well?,"greet and hello hi kind of things, general check in"
830,is it going to snow,asking weather
831,open website instagram.com,open website
